draw,rebalance_date,macro_source_date,temperature,max_tokens,parse_ok,inflation,growth,credit_stress,policy,risk_appetite,latency_s,error,reply_text
259,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.5,0.7,-0.6,3.96,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.5, ""policy"": 0.7, ""risk_appetite"": -0.6}"
245,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.85,0.43,-0.98,-0.5,6.0,,"{""inflation"": 0.85, ""growth"": -0.85, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.5}"
240,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.9,-0.6,-0.7,7.52,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.9, ""policy"": -0.6, ""risk_appetite"": -0.7}"
246,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.98,-0.5,-0.7,6.36,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.98, ""policy"": -0.5, ""risk_appetite"": -0.7}"
239,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.9,0.9,0.8,-0.8,8.16,,"{""inflation"": 0.85, ""growth"": -0.9, ""credit_stress"": 0.9, ""policy"": 0.8, ""risk_appetite"": -0.8}"
256,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.4,-0.7,-0.6,5.45,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.4, ""policy"": -0.7, ""risk_appetite"": -0.6}"
249,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.5,-0.6,-0.7,6.51,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.5, ""policy"": -0.6, ""risk_appetite"": -0.7}"
264,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,0.85,-0.8,4.13,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": 0.85, ""risk_appetite"": -0.8}"
261,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.6,0.5,-0.7,5.0,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": 0.5, ""risk_appetite"": -0.7}"
253,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.8,0.5,-0.6,6.54,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.8, ""policy"": 0.5, ""risk_appetite"": -0.6}"
273,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.9,0.7,-0.6,2.73,,"```json
{
  ""inflation"": 0.8,
  ""growth"": 0.3,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.6
}
```"
254,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,-0.6,-0.5,6.77,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.7,
  ""credit_stress"": 0.4,
  ""policy"": -0.6,
  ""risk_appetite"": -0.5
}
```"
232,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.9,0.7,-0.8,11.3,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
265,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.7,0.6,-0.6,4.7,,"{""inflation"": 0.8, ""growth"": -0.3, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.6}"
262,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,0.6,-0.7,5.43,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.4, ""policy"": 0.6, ""risk_appetite"": -0.7}"
242,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.7,-0.9,-0.7,8.9,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": -0.9, ""risk_appetite"": -0.7}"
244,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.9,0.7,-0.7,8.42,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.7}"
266,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.35,0.45,-0.9,-0.8,5.89,,"{""inflation"": 0.85, ""growth"": -0.35, ""credit_stress"": 0.45, ""policy"": -0.9, ""risk_appetite"": -0.8}"
258,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,-0.6,-0.5,7.62,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.4, ""policy"": -0.6, ""risk_appetite"": -0.5}"
282,2020-03-02,2020-02-29,0.0,2048,True,0.78,0.32,0.92,0.68,-0.57,2.66,,"```json
{
  ""inflation"": 0.78,
  ""growth"": 0.32,
  ""credit_stress"": 0.92,
  ""policy"": 0.68,
  ""risk_appetite"": -0.57
}
```"
275,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.9,0.7,-0.6,3.99,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
272,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.9,-0.7,-0.8,5.49,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.9, ""policy"": -0.7, ""risk_appetite"": -0.8}"
260,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.5,-0.6,-0.4,8.35,,"{""inflation"": 0.8, ""growth"": -0.3, ""credit_stress"": 0.5, ""policy"": -0.6, ""risk_appetite"": -0.4}"
269,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.3,0.9,-0.7,-0.8,6.23,,"{""inflation"": 0.85, ""growth"": 0.3, ""credit_stress"": 0.9, ""policy"": -0.7, ""risk_appetite"": -0.8}"
279,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,0.6,-0.7,3.62,,"```json
{
  ""inflation"": 0.80,
  ""growth"": -0.70,
  ""credit_stress"": 0.40,
  ""policy"": 0.60,
  ""risk_appetite"": -0.70
}
```"
257,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.7,0.5,-0.6,9.28,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.7, ""policy"": 0.5, ""risk_appetite"": -0.6}"
280,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.9,0.3,-0.6,3.99,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.7,
  ""credit_stress"": 0.9,
  ""policy"": 0.3,
  ""risk_appetite"": -0.6
}
```"
267,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.7,-0.6,-0.8,7.14,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.7, ""policy"": -0.6, ""risk_appetite"": -0.8}"
283,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.9,-0.5,-0.7,3.83,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.9, ""policy"": -0.5, ""risk_appetite"": -0.7}"
268,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.7,-0.6,-0.8,7.0,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.7, ""policy"": -0.6, ""risk_appetite"": -0.8}"
271,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.7,-0.6,-0.8,6.72,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.7, ""policy"": -0.6, ""risk_appetite"": -0.8}"
274,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.5,-0.8,-0.6,5.49,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.5, ""policy"": -0.8, ""risk_appetite"": -0.6}"
287,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.4,-0.9,-0.6,3.62,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.7,
  ""credit_stress"": 0.4,
  ""policy"": -0.9,
  ""risk_appetite"": -0.6
}
```
"
281,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.9,0.7,-0.8,4.26,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.3,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.8
}
```
"
270,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.8,0.4,0.6,-0.7,7.25,,"{""inflation"": 0.85, ""growth"": -0.8, ""credit_stress"": 0.4, ""policy"": 0.6, ""risk_appetite"": -0.7}"
286,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.8,0.4,0.7,-0.6,4.05,,"{""inflation"": 0.85, ""growth"": -0.8, ""credit_stress"": 0.4, ""policy"": 0.7, ""risk_appetite"": -0.6}"
284,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.2,0.98,0.8,-0.7,4.57,,"{""inflation"": 0.85, ""growth"": -0.2, ""credit_stress"": 0.98, ""policy"": 0.8, ""risk_appetite"": -0.7}"
252,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.3,0.8,-0.6,-0.7,11.42,,"{""inflation"": 0.85, ""growth"": 0.3, ""credit_stress"": 0.8, ""policy"": -0.6, ""risk_appetite"": -0.7}"
293,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.6,-0.5,-0.7,2.89,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.3,
  ""credit_stress"": 0.6,
  ""policy"": -0.5,
  ""risk_appetite"": -0.7
}
```"
289,2020-03-02,2020-02-29,0.0,2048,True,0.7,0.3,0.8,-0.6,-0.7,4.48,,"{""inflation"": 0.7, ""growth"": 0.3, ""credit_stress"": 0.8, ""policy"": -0.6, ""risk_appetite"": -0.7}"
263,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,0.98,-0.8,9.69,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": 0.98, ""risk_appetite"": -0.8}"
294,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.6,-0.7,-0.6,2.89,,"{""inflation"": 0.8, ""growth"": -0.3, ""credit_stress"": 0.6, ""policy"": -0.7, ""risk_appetite"": -0.6}"
291,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.8,4.42,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
285,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.8,0.4,0.9,-0.7,5.21,,"{""inflation"": 0.8, ""growth"": -0.8, ""credit_stress"": 0.4, ""policy"": 0.9, ""risk_appetite"": -0.7}"
288,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.2,0.7,0.6,-0.7,5.18,,"{""inflation"": 0.8, ""growth"": -0.2, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.7}"
290,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.4,-0.7,-0.8,4.82,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.4, ""policy"": -0.7, ""risk_appetite"": -0.8}"
276,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.35,0.55,0.65,-0.75,7.01,,"{""inflation"": 0.85, ""growth"": 0.35, ""credit_stress"": 0.55, ""policy"": 0.65, ""risk_appetite"": -0.75}"
292,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.4,0.6,-0.5,4.77,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.4, ""policy"": 0.6, ""risk_appetite"": -0.5}"
300,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.4,0.8,-0.7,3.39,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.4, ""policy"": 0.8, ""risk_appetite"": -0.7}"
302,2020-03-02,2020-02-29,0.0,2048,True,0.95,0.3,0.9,-0.8,-0.7,3.23,,"```json
{
  ""inflation"": 0.95,
  ""growth"": 0.30,
  ""credit_stress"": 0.90,
  ""policy"": -0.80,
  ""risk_appetite"": -0.70
}
```
"
295,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.9,0.7,-0.8,4.69,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.3,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.8
}
```"
299,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.8,-0.6,-0.7,4.05,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": -0.6, ""risk_appetite"": -0.7}"
306,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.43,-0.98,-0.8,3.44,,"{""inflation"": 0.85, ""growth"": -0.70, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.80}"
307,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.9,0.6,-0.8,4.48,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.9, ""policy"": 0.6, ""risk_appetite"": -0.8}"
313,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.6,0.4,-0.7,3.53,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": 0.4, ""risk_appetite"": -0.7}"
301,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.9,0.7,-0.5,5.55,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.5}"
251,2020-03-02,2020-02-29,0.0,2048,False,,,,,,16.32,,"We need to interpret macro state: CPI yoy +0.85 (inflation high). hy_oas_z +0.43 (yield spread? hy_oas maybe high yield spread? Actually hy_oas is high yield OAS? Not sure. t10y2y_z -0.98 (10-year minus 2-year yield spread negative, meaning steepening? Actually t10y2y is the 10-year minus 2-year yield spread; negative indicates inverted? Wait typical: 10y2y positive indicates normal upward slope; negative indicates inversion. So -0.98 indicates steep inversion, credit stress? Actually credit stress might be indicated by yield spread. But t10y2y negative indicates steepening? Actually if 10-year yield is lower than 2-year, that indicates a steepening of the short end relative to long? Wait typical: 10-year yield minus 2-year yield: if positive, long > short; if negative, short > long. So negative indicates short-term yields higher than long-term yields, which is a sign of credit stress? Actually credit stress is often measured by corporate bond spreads, not Treasury. But t10y2y negative indicates a steepening of the short end relative to long, which could be a sign of a steepening of the yield curve, maybe due to expectations of tightening. But we can interpret as policy or risk appetite.

We have 5 axes: inflation, growth, credit_stress, policy, risk_appetite.

We need to map macro state to loadings.

Inflation: CPI yoy +0.85 => high inflation => loading positive, maybe +0.8.

Growth: hy_oas_z +0.43? Actually hy_oas might be high yield OAS? Not sure. But maybe hy_oas_z positive indicates growth? Actually hy_oas could be ""high yield OAS"" which is a measure of credit spreads. But maybe hy_oas_z positive indicates higher spreads, which could indicate lower growth? But we need to interpret growth axis. We might use t10y2y_z negative indicates a steepening of short end, maybe indicating tightening, which could be negative growth. But hy_oas_z positive might indicate higher spreads, which could be negative growth. But we need to decide.

Alternatively, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have a separate credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Wait, hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z might be growth? Actually hy_oas_z might be ""high yield OAS"" which is a measure of credit risk. But we have credit_stress axis. So hy_oas_z"
296,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,-0.8,-0.7,-0.6,6.83,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.3,
  ""credit_stress"": -0.8,
  ""policy"": -0.7,
  ""risk_appetite"": -0.6
}
```
"
309,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.8,0.4,0.3,-0.7,5.5,,"{""inflation"": 0.8, ""growth"": -0.8, ""credit_stress"": 0.4, ""policy"": 0.3, ""risk_appetite"": -0.7}"
311,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.9,0.7,-0.8,5.26,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
303,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.9,0.7,-0.5,6.14,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.5}"
304,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.9,0.7,-0.5,6.05,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.5}"
298,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.5,-0.9,-0.7,6.96,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.5, ""policy"": -0.9, ""risk_appetite"": -0.7}"
312,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.95,0.6,-0.8,5.54,,"{""inflation"": 0.85, ""growth"": -0.70, ""credit_stress"": 0.95, ""policy"": 0.60, ""risk_appetite"": -0.80}"
277,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.3,0.7,0.4,11.54,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.3, ""policy"": 0.7, ""risk_appetite"": 0.4}"
321,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.8,0.6,0.5,-0.7,4.78,,"{""inflation"": 0.8, ""growth"": -0.8, ""credit_stress"": 0.6, ""policy"": 0.5, ""risk_appetite"": -0.7}"
278,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,-0.98,-0.5,11.61,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.5}"
310,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.35,0.92,-0.65,-0.75,6.57,,"{""inflation"": 0.85, ""growth"": 0.35, ""credit_stress"": 0.92, ""policy"": -0.65, ""risk_appetite"": -0.75}"
315,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.8,0.9,-0.7,5.78,,"{""inflation"": 0.85, ""growth"": -0.6, ""credit_stress"": 0.8, ""policy"": 0.9, ""risk_appetite"": -0.7}"
305,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,0.98,-0.98,7.29,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": 0.98, ""risk_appetite"": -0.98}"
324,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.5,-0.4,-0.6,4.27,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.5, ""policy"": -0.4, ""risk_appetite"": -0.6}"
326,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.8,0.6,-0.5,4.02,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": 0.6, ""risk_appetite"": -0.5}"
316,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.43,-0.98,-0.7,6.24,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.7}"
318,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.8,0.6,-0.8,6.65,,"{""inflation"": 0.85, ""growth"": -0.70, ""credit_stress"": 0.80, ""policy"": 0.60, ""risk_appetite"": -0.80}"
329,2020-03-02,2020-02-29,0.0,2048,True,0.95,0.35,0.9,0.7,-0.8,3.91,,"{""inflation"": 0.95, ""growth"": 0.35, ""credit_stress"": 0.90, ""policy"": 0.70, ""risk_appetite"": -0.80}"
308,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,-0.3,0.7,-0.6,8.58,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": -0.3, ""policy"": 0.7, ""risk_appetite"": -0.6}"
335,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.6,0.9,0.7,-0.8,3.11,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.6,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.8
}
```
"
322,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.7,0.6,-0.5,6.41,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.5}"
320,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,-0.5,-0.6,-0.4,7.74,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": -0.5, ""policy"": -0.6, ""risk_appetite"": -0.4}"
297,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,-0.98,-0.7,10.99,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.7}"
327,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.8,0.7,-0.6,6.75,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.8, ""policy"": 0.7, ""risk_appetite"": -0.6}"
342,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.9,0.6,-0.8,3.54,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.70,
  ""credit_stress"": 0.90,
  ""policy"": 0.60,
  ""risk_appetite"": -0.80
}
```
"
332,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.9,0.7,-0.6,4.84,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
338,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.3,0.9,0.7,-0.8,4.25,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.30,
  ""credit_stress"": 0.90,
  ""policy"": 0.70,
  ""risk_appetite"": -0.80
}
```"
319,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.6,-0.5,-0.6,9.14,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": -0.5, ""risk_appetite"": -0.6}"
331,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.9,0.7,-0.8,5.14,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
314,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.9,-0.7,9.66,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.9, ""risk_appetite"": -0.7}"
336,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.7,0.6,-0.8,5.45,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.8}"
343,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.4,-0.7,-0.5,4.34,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.4, ""policy"": -0.7, ""risk_appetite"": -0.5}"
333,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.7,0.6,-0.8,5.62,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.8}"
